Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\JibSTDTest2_270325.csv,
Starttime of export,133875519068190000,torsdag 27. mars 2025,13:25:06.819
Endtime of export,133875519692590000,torsdag 27. mars 2025,13:26:09.259


Name,MainPaDCV,MainPaCyl,MainPbDCV,Ps,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch
90,0.072373379956137518,21.84590238256159,0.28020009693713666,150.72618834882553,0.73029453926374277,0.73029453926374277,0,0,0,0,0,0,0,4.0896742381502094E-07,62.634068084319431,57.88208732158752,80.822283030079319,57.923658302664116,0.24979891216086397,0.24979891216086397,0,0,0,0,0,0,4.41377776355667E-07,0,0,0,0.051234192465738661,-0.021750335017008557,0.021470801784047297,-0.019137771375655931,-0.021261073475768631,-0.020139105159348074
100,0.072713612906185457,21.845925838288828,0.28021102308282436,150.72687287144379,0.73029434685468475,0.73029434685468475,0,0,0,0,0,0,0,1.9240905801964914E-07,62.63495297030925,57.883343997576411,80.82048332219459,57.924542383578981,0.24980039118175751,0.24980039118175751,0,0,0,0,0,0,-1.4790208935355764E-06,0,0,0,0.051234192465738661,-0.021131842078136273,0.020848459703350274,-0.018623315155880234,-0.020531526836894215,-0.01930862659607599
110,0.073122094903036755,21.846112818432417,0.28022318624294162,150.72768121484896,0.73029435252072372,0.73029435252072372,0,0,0,0,0,0,0,-5.6660389713414361E-09,62.635812299351883,57.884505450157675,80.818958619549392,57.925635440389669,0.24980155959891828,0.24980155959891828,0,0,0,0,0,0,-1.1684171607739824E-06,0,0,0,0.051234192465738661,-0.021338006391093702,0.021159630743698785,-0.019034880131700793,-0.020844189682126108,-0.019516246236894009
120,0.073639341772364336,21.846496247326019,0.28023642848105096,150.72859918540394,0.73029440113472033,0.73029440113472033,0,0,0,0,0,0,0,-4.8613996606050591E-08,62.636548564085807,57.885575555429369,80.817545926411341,57.926818202975078,0.24980117607832075,0.24980117607832075,0,0,0,0,0,0,3.83520597529996E-07,0,0,0,0.051234192465738661,-0.021956499329965982,0.02167824914427964,-0.019755118839386767,-0.021677957269411151,-0.020554344440984116
130,0.074205454014982852,21.846912576581637,0.28025060163454774,150.7297579965898,0.73029435118421815,0.73029435118421815,0,0,0,0,0,0,0,4.9950502178930378E-08,62.636977021466826,57.886606398591752,80.816337252763788,57.927885259336684,0.24980190867723928,0.24980190867723928,0,0,0,0,0,0,-7.3259891852917036E-07,0,0,0,0.051234192465738661,-0.022781156581795692,0.022508038585209004,-0.020681140034983024,-0.022303282959874934,-0.021281013183847192
140,0.07466927595126388,21.847357239148103,0.28026556703110289,150.73117986596722,0.73029434912890556,0.73029434912890556,0,0,0,0,0,0,0,2.0553125867905919E-09,62.637026945256792,57.887645591676716,80.815512013158639,57.929083642781322,0.24980365532772217,0.24980365532772217,0,0,0,0,0,0,-1.7466504828866913E-06,0,0,0,0.051234192465738661,-0.022368827955880837,0.021989420184628152,-0.020063792571252185,-0.021573736321000521,-0.020346724800166097
150,0.0750862586612035,21.848115119327126,0.28028119519283556,150.73225749070423,0.7302943907210423,0.7302943907210423,0,0,0,0,0,0,0,-4.1592136734713847E-08,62.636683581074671,57.888640097261359,80.8148466228661,57.930589724457533,0.24980394842648435,0.24980394842648435,0,0,0,0,0,0,-2.9309876217742392E-07,0,0,0,0.051234192465738661,-0.021131842078136273,0.020641012343117934,-0.018623315155880234,-0.020427305888483585,-0.019204816775666978
160,0.075555303783977484,21.84934816493783,0.28029736553047424,150.73306539818014,0.73029460942230018,0.73029460942230018,0,0,0,0,0,0,0,-2.1870125788137074E-07,62.636320581405634,57.889734538717072,80.814425890703021,57.932273831451781,0.24980418029644105,0.24980418029644105,0,0,0,0,0,0,-2.3186995670720911E-07,0,0,0,0.051234192465738661,-0.021544170704051128,0.021263354423814957,-0.019240662619611069,-0.020948410630536738,-0.019827675698121043
170,0.075925354764137892,21.850671935734184,0.28031396602960312,150.73391352273927,0.730295263640342,0.730295263640342,0,0,0,0,0,0,0,-6.5421804185117338E-07,62.636085702773734,57.891156679786995,80.814518895295635,57.934065303364711,0.2498059358638797,0.2498059358638797,0,0,0,0,0,0,-1.7555674386438014E-06,0,0,0,0.051234192465738661,-0.021956499329965982,0.02167824914427964,-0.019755118839386767,-0.021261073475768631,-0.020346724800166097
180,0.07615555418824542,21.851735793761677,0.2802827000324653,150.73474674962571,0.73029603708485413,0.73029603708485413,0,0,0,0,0,0,0,-7.7344451210326071E-07,62.635631137617956,57.892341665579551,80.8145976910465,57.936092106248793,0.24980670220436943,0.24980670220436943,0,0,0,0,0,0,-7.6634048973289737E-07,0,0,0,0.051234192465738661,-0.022162663642923412,0.021989420184628152,-0.019858010083341909,-0.021469515372589891,-0.020658154261393127
190,0.076305613045715828,21.852462248520347,0.28020794427706142,150.73551492026544,0.73029677860393383,0.73029677860393383,0,0,0,0,0,0,0,-7.4151907969444153E-07,62.635122780015195,57.893209505224114,80.814566843649942,57.938373520546307,0.2498068802731149,0.2498068802731149,0,0,0,0,0,0,-1.7806874547110496E-07,0,0,0,0.051234192465738661,-0.02247191011235955,0.022196867544860492,-0.019960901327297047,-0.021990620114643044,-0.02086577390221115
200,0.07633386713257817,21.852974798743222,0.28014205118385443,150.73617258988963,0.73029735060271894,0.73029735060271894,0,0,0,0,0,0,0,-5.7199878511493552E-07,62.634904767041007,57.893881339288228,80.8145326033169,57.940781529623578,0.24980841812080881,0.24980841812080881,0,0,0,0,0,0,-1.5378476939109653E-06,0,0,0,0.051234192465738661,-0.021544170704051128,0.021367078103931129,-0.019137771375655931,-0.021156852527357998,-0.019931485518530054
210,0.076251028192910839,21.853145849323973,0.280036300474466,150.73648601649182,0.7302979033905066,0.7302979033905066,0,0,0,0,0,0,0,-5.527877876554399E-07,62.634663002641368,57.8943719320743,80.814447213812741,57.943247185227605,0.24980960844847303,0.24980960844847303,0,0,0,0,0,0,-1.190327664213342E-06,0,0,0,0.051234192465738661,-0.021647252860529841,0.021470801784047297,-0.019343553863566211,-0.021156852527357998,-0.020035295338939062
220,0.076067294727981585,21.853294227231459,0.27989465129042057,150.73624358685004,0.730298298987741,0.730298298987741,0,0,0,0,0,0,0,-3.955972344149572E-07,62.634255973064519,57.894791837272223,80.813930014049518,57.945900209700234,0.249809055075776,0.249809055075776,0,0,0,0,0,0,5.5337269702637748E-07,0,0,0,0.051234192465738661,-0.021647252860529841,0.021574525464163469,-0.019446445107521349,-0.021365294424179261,-0.020139105159348074
230,0.075840550238203089,21.853614132927728,0.27976904559316368,150.7359775791073,0.73029841229597026,0.73029841229597026,0,0,0,0,0,0,0,-1.1330822924371375E-07,62.63379635607248,57.894856520905492,80.813310572889534,57.948809865958609,0.24980912768991226,0.24980912768991226,0,0,0,0,0,0,-7.2614136259474549E-08,0,0,0,0.051234192465738661,-0.021544170704051128,0.021470801784047297,-0.019343553863566211,-0.021365294424179261,-0.019931485518530054
240,0.075623704632380384,21.853607132933288,0.27961036076896767,150.73588391010878,0.73029840545569269,0.73029840545569269,0,0,0,0,0,0,0,6.8402775665887816E-09,62.633290638955,57.894645484668395,80.8126486136181,57.95179728474519,0.24981040254089826,0.24981040254089826,0,0,0,0,0,0,-1.2748509859994428E-06,0,0,0,0.051234192465738661,-0.022162663642923412,0.02209314386474432,-0.019858010083341909,-0.021782178217821781,-0.020658154261393127
250,0.075368541492528779,21.853591460348138,0.2794703555126522,150.73589944312911,0.73029842667430889,0.73029842667430889,0,0,0,0,0,0,0,-2.121861619741594E-08,62.63298587904481,57.894858762099346,80.8117577560116,57.954795569508669,0.24981008108612979,0.24981008108612979,0,0,0,0,0,0,3.2145476847045273E-07,0,0,0,0.051234192465738661,-0.02185341717348727,0.021574525464163469,-0.019446445107521349,-0.021469515372589891,-0.020242914979757085
260,0.0750794729687109,21.854001683757506,0.2793479227201463,150.73577344891828,0.73029847337480347,0.73029847337480347,0,0,0,0,0,0,0,-4.670049458255221E-08,62.632769037101909,57.895602386389086,80.811240171186711,57.957984689563858,0.24980893859906142,0.24980893859906142,0,0,0,0,0,0,1.1424870683673927E-06,0,0,0,0.051234192465738661,-0.021750335017008557,0.021574525464163469,-0.019446445107521349,-0.021261073475768631,-0.020035295338939062
270,0.074712460112285176,21.854509182152515,0.27919379139027795,150.73547080776143,0.73029854310855036,0.73029854310855036,0,0,0,0,0,0,0,-6.9733746888012149E-08,62.632392192506892,57.896681717750972,80.811016541442484,57.9613350975922,0.24980942314659674,0.24980942314659674,0,0,0,0,0,0,-4.8454753531768091E-07,0,0,0,0.051234192465738661,-0.021750335017008557,0.021470801784047297,-0.019343553863566211,-0.021365294424179261,-0.019931485518530054
