Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\Jib1Test_090525.csv,
Starttime of export,133912745953610000,fredag 9. mai 2025,16:29:55.361
Endtime of export,133912746444510000,fredag 9. mai 2025,16:30:44.451


Name,MainPaCyl,Name,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,MainOutSignal,MainOutCompansated,MainUAdj,Name,JibPaCyl,Name,JibPaDCV,Name,JibPbCyl,Name,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,JibOutSignal,JibOutCompansated,JibUAdj,Name,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name,JoystickJib,JoystickMain,Name,JoystickRotation,JoystickWinch
45,33.78235669001409,90,0.2212642740145046,152.20377989771734,5.3335219889176404E-08,0.50041603317058758,0.50041603317058758,0,-0.0017421565229298608,-2.1016881153945555E-06,-1.2807161953185575E-06,0,0,0,1.3245834429520542E-05,0,0,0,45,43.402051581734788,90,47.338442893417863,45,79.741409530367292,90,47.333807033675548,0.070551720275055269,0.070551720275055269,0,0.0012153780954013982,1.2886502273483582E-06,7.1591679297131008E-07,0,0,-1.3828494973486261E-05,0,0.020313760795922731,0,0,45,0,0,1.0282051978093032,0,90,0,0,45,0,0
50,33.750330378798324,100,0.22040025514186598,152.18007129368141,1.6012791122910759E-08,0.50040277124399313,0.50040277124399313,0,-0.0016329952803673109,-1.969999094841119E-06,-1.200468198418807E-06,0,0,0,1.3261926594454465E-05,0,0,0,50,43.408033573906089,100,47.320904370973921,50,79.75056303934953,100,47.380069368338255,0.070545334725764852,0.070545334725764852,0,0,0,0,0,0,6.385549290416348E-06,0,0.020313760795922731,0,0,50,0,0,1.0282051978093032,0,100,0,0,50,0,0
55,33.725254848160205,110,0.21994816563969211,152.14377542968006,1.9326647163533761E-09,0.50039360184567283,0.50039360184567283,0,-0.0014706011040033218,-1.7740913758839837E-06,-1.0810869321793028E-06,0,0,0,9.1693983202967289E-06,0,0,0,55,43.407093280429258,110,47.289918805869611,55,79.762289625895832,110,47.423838933127008,0.070535036130344259,0.070535036130344259,0,0,0,0,0,0,1.0298595420593637E-05,0,0.020313760795922731,0,0,55,0,0,1.0282051978093032,0,110,0,0,55,0,0
60,33.720505412850159,120,0.215412851780992,152.14852281167717,-1.6302285520918742E-09,0.50039852090411907,0.50039852090411907,0,0,0,0,0,0,0,-4.9190584462399656E-06,0,0,0,60,43.4051523668075,120,47.269485935583909,60,79.767601244060913,120,47.386594143129571,0.070500415286671711,0.070500415286671711,0,-0.0011976801802333625,-1.2698853487552905E-06,-7.054918604196058E-07,0,0,3.4620843672547585E-05,0,0.020313760795922731,0,0,60,0,0,1.0282051978093032,0,120,0,0,60,0,0
65,33.727370723156717,130,0.21307895953758443,152.1667531213493,0.0043558470945429095,0.50040563769856816,0.50040563769856816,0,0,0,0,0,0,0,-7.1167944490913015E-06,0,0,0,65,43.393541676633909,130,47.251166791343614,65,79.773066043889656,130,47.3180687293799,0.07049834928386596,0.07049834928386596,0,-0.0016526599923540886,-1.7522947656657121E-06,-9.7349709203650661E-07,0,0,2.0660028057506441E-06,0,0.020313760795922731,0,0,65,0,0,1.0282051978093032,0,130,0,0,65,0,0
70,33.747819211353445,140,0.21355126970687141,152.1642561363349,0.0066397303913871605,0.50041319213473912,0.50041319213473912,0,0,0,0,0,0,0,-7.5544361709534158E-06,0,0,0,70,43.381384592097689,140,47.232293832093305,70,79.789182780137381,140,47.317549172059032,0.070480948511280658,0.070480948511280658,0,-0.0014185934248054366,-1.5041169051073463E-06,-8.3562050283741461E-07,0,0,1.7400772585302038E-05,0,0.020313760795922731,0,0,70,0,0,1.0282051978093032,0,140,0,0,70,0,0
75,33.771066670803087,150,0.21107811674269877,152.13992867659533,0.0042576048216797745,0.50042001516236745,0.50042001516236745,0,0,0,0,0,0,0,-6.8230276283332E-06,0,0,0,75,43.372791188155354,150,47.24327780929233,75,79.801762951767046,150,47.359086824841434,0.070448603497023754,0.070448603497023754,0,-0.0019235774228798519,-2.0395451363615538E-06,-1.1330806313119742E-06,0,0,3.2345014256904281E-05,0,0.020313760795922731,0,0,75,0,0,1.0282051978093032,0,150,0,0,75,0,0
80,33.782387154005356,160,0.21099087854456469,152.09297794347509,0.0019815173215214422,0.50041680212716866,0.50041680212716866,0,0,0,0,0,0,0,3.2130351987902372E-06,0,0,0,80,43.359486666148491,160,47.283040994256666,80,79.8108184791362,160,47.3824666967391,0.070438394641183483,0.070438394641183483,0,-0.0020629392538884517,-2.1873087466260645E-06,-1.2151715259033691E-06,0,0,1.0208855840271314E-05,0,0.020313760795922731,0,0,80,0,0,1.0282051978093032,0,160,0,0,80,0,0
85,33.784772011448148,170,0.21469561537828846,152.0505804554407,0.00069501696349412261,0.50041999288541206,0.50041999288541206,0,0,0,0,0,0,0,-3.1907582433987614E-06,0,0,0,85,43.348087752256824,170,47.339984238825927,85,79.80927986686433,170,47.385032377236151,0.070439537283315534,0.070439537283315534,0,-0.0013168171653870075,-1.3962048073540058E-06,-7.7566933741889219E-07,0,0,-1.1426421320515079E-06,0,0.020313760795922731,0,0,85,0,0,1.0282051978093032,0,170,0,0,85,0,0
90,33.777123662795667,180,0.21756117041237366,152.04649985081943,0.00014877548336300687,0.50042307155447219,0.50042307155447219,0,0,0,0,0,0,0,-3.0786690601303235E-06,0,0,0,90,43.339309528006353,180,47.375602089222674,90,79.797589083352278,180,47.384011674131578,0.0704424026130534,0.0704424026130534,0,0,0,0,0,0,-2.8653297378666842E-06,0,0.020313760795922731,0,0,90,0,0,1.0282051978093032,0,180,0,0,90,0,0
