Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\Scope Project.csv,
Starttime of export,133898811315100000,onsdag 23. april 2025,13:25:31.510
Endtime of export,133898811908000000,onsdag 23. april 2025,13:26:30.800


Name,MainPaCyl,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch
90,14.375133259821107,0.20278644911954732,141.01919955739717,0,0.70003850128494038,0.69998132938765845,0,0,0,0,0,0,0,5.7171897281937945E-05,56.163778568811,52.199914500833295,92.346460136675972,44.863195239121517,0.75011663912443194,0.74980518548433284,0,-0.00313342554740359,-3.3223320045991221E-06,-1.8457400025550677E-06,0,0,0.00031145364009910192,0,0,0,1.6571493797223937,-0.022678074425316979,0.022404314905092832,-0.020269575059162465,-0.021782178217821781,-0.020658154261393127
100,14.364595634109394,0.20109734104198068,141.01168423816992,0,0.70003850128494038,0.69998162471251224,0,0,0,0,0,0,0,5.6876572428143923E-05,56.15460628868238,52.170166400996358,92.353643287823473,44.88469463552758,0.75011663912443194,0.74983420480603113,0,-0.002324213966659272,-2.4643350640218022E-06,-1.3690750355676678E-06,0,0,0.0002824343184008038,0,0,0,1.6571493797223937,-0.023193485207710546,0.023026656985789856,-0.0208869225228933,-0.022303282959874934,-0.020969583722620162
110,14.36240274685848,0.19563719692087658,141.005843725326,0,0.70003850128494038,0.69998510056796537,0,0,0,0,0,0,0,5.3400716975016138E-05,56.1485679693955,52.153898495466791,92.369432558808825,44.905918006486104,0.75011663912443194,0.74991590612001657,0,0,0,0,0,0,0.00020073300441536546,0,0,0,1.6571493797223937,-0.023502731677146685,0.023130380665906027,-0.020989813766848442,-0.022615945805106827,-0.021488632824665212
120,14.366139841398894,0.19127240920297492,140.98640377940745,0,0.70003850128494038,0.69998399768363739,0,0,0,0,0,0,0,5.4503601302990923E-05,56.150573989226096,52.153742862416316,92.382740185452761,44.917986533257775,0.75011663912443194,0.75000808957581966,0,0.0020427848984354569,2.1659393350537887E-06,1.2032996305854382E-06,0,0,0.00010854954861228006,0,0,0,1.6571493797223937,-0.022884238738274405,0.022508038585209004,-0.020372466303117606,-0.022199062011464304,-0.020969583722620162
130,14.364284192552459,0.19188501143497777,140.97543793440101,0,0.70003850128494038,0.69998648616409243,0,0,0,0,0,0,0,5.2015120847959118E-05,56.148190329581382,52.166438277973292,92.40431267977965,44.931756984372704,0.75011663912443194,0.75007174795227516,0,0.0037639297562606089,3.990847748927518E-06,2.2171376382930656E-06,0,0,4.4891172156780179E-05,0,0,0,1.6571493797223937,-0.022368827955880837,0.021989420184628152,-0.020063792571252185,-0.021677957269411151,-0.020346724800166097
140,14.354532230359977,0.19459771030220968,140.98898571372652,0,0.70003850128494038,0.69999560940286076,0,0,0,0,0,0,0,4.2891882079620913E-05,56.148054983971548,52.194258131580618,92.426162466774457,44.95747188640528,0.75011663912443194,0.75010037910979055,0,0.0043825375848030035,4.6467499096681663E-06,2.5815277275934259E-06,0,0,1.6260014641389375E-05,0,0,0,1.6571493797223937,-0.022059581486444695,0.02167824914427964,-0.019755118839386767,-0.021365294424179261,-0.020139105159348074
150,14.339007107600958,0.19781324923133023,140.99979426428925,0,0.70003850128494038,0.70000623487320934,0,0,0,0,0,0,0,3.2266411731041167E-05,56.147026321017023,52.2205931989407,92.440909973189278,44.986346734759309,0.75011663912443194,0.75009033310743878,0,0.00381418736006367,4.0441352590544871E-06,2.2467418105858261E-06,0,0,2.6306016993160597E-05,0,0,0,1.6571493797223937,-0.022574992268838263,0.022196867544860492,-0.020063792571252185,-0.021782178217821781,-0.020658154261393127
160,14.32335955262829,0.19693590237614605,141.01342543409453,0.0019062892476657673,0.70003850128494038,0.70000498571827829,0,0,0,0,0,0,0,3.35155666620901E-05,56.138139051395612,52.234535657323114,92.463565408250616,45.010200242527347,0.75011663912443194,0.75002728553362552,0,0.0019833027561588779,2.1028711619001776E-06,1.16826175661121E-06,0,0,8.9353590806418026E-05,0,0,0,1.6571493797223937,-0.023502731677146685,0.023130380665906027,-0.0208869225228933,-0.022824387701928087,-0.021592442645074223
170,14.321539220484468,0.20010886492103114,141.03189203874902,0.002449559476479104,0.70003850128494038,0.70000413221297841,0,0,0,0,0,0,0,3.4369071961970477E-05,56.123360226337375,52.240833923226056,92.480452695377139,45.024301096680773,0.75011663912443194,0.74992569654132657,0,0,0,0,0,0,0.00019094258310536905,0,0,0,1.6571493797223937,-0.02309040305123183,0.022819209625557516,-0.020578248791027882,-0.022199062011464304,-0.02107339354302917
180,14.312758958959076,0.20457312358654653,141.04770177441793,0.0023067019899093242,0.70003850128494038,0.7000090255657917,0,0,0,0,0,0,0,2.9475719148686075E-05,56.108290198855521,52.244682739886393,92.484533132935269,45.039522788368544,0.75011663912443194,0.74984172312225161,0,-0.0031120693923583076,-3.2996883399168972E-06,-1.8331601888427206E-06,0,0,0.00027491600218032541,0,0,0,1.6571493797223937,-0.022162663642923412,0.02209314386474432,-0.020063792571252185,-0.021573736321000521,-0.020242914979757085
