time,MainPaDCV,MainPaCyl,MainPbDCV,Ps,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch
360,0.0705734964348664,21.8627743035797,0.278451064633237,150.733305543474,0.730299923750484,0.730299923750484,0,0,0,0,0,0,0,-1.83316217539087e-07,62.6280004555935,57.9087246903365,80.8118776946454,57.984834465468,0.249807046635717,0.249807046635717,0,0,0,0,0,0,6.65681951367292e-07,0,0,0,0.0512341924657387,-0.0218534171734873,0.0216782491442796,-0.0194464451075213,-0.0213652944241793,-0.0200352953389391
370,0.0701933583911288,21.8652002085526,0.278652989466322,150.733075289949,0.730299837226184,0.730299837226184,0,0,0,0,0,0,0,8.65242997249993e-08,62.627441061375,57.9096180069831,80.8120634768339,57.9865236136664,0.24980828916996,0.24980828916996,0,0,0,0,0,0,-1.24253424282905e-06,0,0,0,0.0512341924657387,-0.0211318420781363,0.0208484597033503,-0.0185204239119251,-0.0207399687337155,-0.019412436416485
380,0.0698590436432243,21.8674518768642,0.279038102081705,150.732881077215,0.730299642684629,0.730299642684629,0,0,0,0,0,0,0,1.94541554865424e-07,62.627110487192,57.910441047648,80.8122364997842,57.9881537021766,0.249809368974215,0.249809368974215,0,0,0,0,0,0,-1.07980425503862e-06,0,0,0,0.0512341924657387,-0.0218534171734873,0.0215745254641635,-0.0191377713756559,-0.0213652944241793,-0.0200352953389391
390,0.0694714144651507,21.8696804802416,0.2795404115798,150.732383119204,0.730299350491999,0.730299350491999,0,0,0,0,0,0,0,2.92192630313437e-07,62.6271342843818,57.9114377721482,80.8123972141851,57.9896271577758,0.249809189964674,0.249809189964674,0,0,0,0,0,0,1.79009540829389e-07,0,0,0,0.0512341924657387,-0.0221626636429234,0.021885696504512,-0.0195493363514765,-0.0215737363210005,-0.0205543444409841
400,0.0690849314494782,21.8718310771089,0.280002942386171,150.73156217897,0.730298832974588,0.730298832974588,0,0,0,0,0,0,0,5.17517410814072e-07,62.6272880987925,57.912347847942,80.8125460792706,57.9910484673252,0.249810077264721,0.249810077264721,0,0,0,0,0,0,-8.87300046326089e-07,0,0,0,0.0512341924657387,-0.0225749922688383,0.0221968675448605,-0.0200637925712522,-0.0220948410630537,-0.0209695837226202
410,0.0687010185246881,21.8740466874213,0.28037921024533,150.730498389799,0.730298249701587,0.730298249701587,0,0,0,0,0,0,0,5.83273000787088e-07,62.6276079630616,57.9129826100014,80.8122980170594,57.9921274959047,0.249811616541455,0.249811616541455,0,0,0,0,0,0,-1.53927673487986e-06,0,0,0,0.0512341924657387,-0.0220595814864447,0.0220931438647443,-0.0197551188393868,-0.0216779572694112,-0.0205543444409841
420,0.0683209629459988,21.8762164015603,0.280627201936367,150.729121144553,0.730297608818554,0.730297608818554,0,0,0,0,0,0,0,6.40883033531381e-07,62.6282224383096,57.913653173511,80.8122193987754,57.9928903979657,0.249811531223501,0.249811531223501,0,0,0,0,0,0,8.5317954645614e-08,0,0,0,0.0512341924657387,-0.0210287599216576,0.0208484597033503,-0.0185204239119251,-0.0205315268368942,-0.019308626596076
430,0.0680905010533622,21.8778056101812,0.280853722544243,150.727945662335,0.730297055478966,0.730297055478966,0,0,0,0,0,0,0,5.53339587483492e-07,62.629054727345,57.9146428673498,80.8121508997051,57.9936514093449,0.249811388366281,0.249811388366281,0,0,0,0,0,0,1.42857219331827e-07,0,0,0,0.0512341924657387,-0.0215441707040511,0.021263354423815,-0.0190348801317008,-0.0209484106305367,-0.019723865877712
440,0.0679972501291539,21.879052393295,0.281156171468563,150.727199620067,0.730296721592698,0.730296721592698,0,0,0,0,0,0,0,3.33886268744088e-07,62.6299858042022,57.9162085845802,80.8118991195084,57.9949378155744,0.249812616007502,0.249812616007502,0,0,0,0,0,0,-1.22764122051366e-06,0,0,0,0.0512341924657387,-0.0218534171734873,0.0215745254641635,-0.0193435538635662,-0.0214695153725899,-0.0200352953389391
450,0.067933000270915,21.8800786417251,0.28138202918099,150.726414067889,0.730296451473488,0.730296451473488,0,0,0,0,0,0,0,2.70119209222486e-07,62.6308586363873,57.9179074167205,80.8115777239024,57.996938817262,0.249812558879706,0.249812558879706,0,0,0,0,0,0,5.71277956329386e-08,0,0,0,0.0512341924657387,-0.0220595814864447,0.0219894201846282,-0.0197551188393868,-0.0216779572694112,-0.0203467248001661
460,0.0678954281600952,21.880321585419,0.281537209746786,150.725402846201,0.730296240521535,0.730296240521535,0,0,0,0,0,0,0,2.10951953460992e-07,62.6316267606835,57.919817214568,80.8111941675684,57.9991492814041,0.249811489410095,0.249811489410095,0,0,0,0,0,0,1.06946961092591e-06,0,0,0,0.0512341924657387,-0.0227811565817957,0.0224043149050928,-0.0201666838152073,-0.021990620114643,-0.0207619640818021
470,0.0677859258063256,21.8801390252893,0.28162738074341,150.724382771206,0.730296084312178,0.730296084312178,0,0,0,0,0,0,0,1.56209356561021e-07,62.6323446416541,57.9221526571164,80.8108518739798,58.0015418690947,0.249811872376627,0.249811872376627,0,0,0,0,0,0,-3.82966531625728e-07,0,0,0,0.0512341924657387,-0.0217503350170086,0.0213670781039311,-0.0191377713756559,-0.0209484106305367,-0.019723865877712
480,0.0676113170605539,21.8800032274142,0.281657962788149,150.723503235377,0.730295841093528,0.730295841093528,0,0,0,0,0,0,0,2.43218649997878e-07,62.6330139097229,57.924384773632,80.8108376853374,58.0038499872118,0.249812154846412,0.249812154846412,0,0,0,0,0,0,-2.82469785284345e-07,0,0,0,0.0512341924657387,-0.0216472528605298,0.0214708017840473,-0.0190348801317008,-0.021156852527358,-0.019827675698121
490,0.0674744622489828,21.8799587656164,0.281682322981154,150.722851608798,0.730295519557216,0.730295519557216,0,0,0,0,0,0,0,3.21536312686277e-07,62.6336844352524,57.9267548978736,80.8110261172215,58.005879257845,0.249811080313391,0.249811080313391,0,0,0,0,0,0,1.07453302147786e-06,0,0,0,0.0512341924657387,-0.0216472528605298,0.0215745254641635,-0.0192406626196111,-0.0213652944241793,-0.0199314855185301
500,0.0674689327234908,21.87980492792,0.281700918011416,150.722410212506,0.73029526543602,0.73029526543602,0,0,0,0,0,0,0,2.54121195530921e-07,62.6340643019883,57.9294341815162,80.8114466142456,58.0078392190833,0.249811144201279,0.249811144201279,0,0,0,0,0,0,-6.38878879521965e-08,0,0,0,0.0512341924657387,-0.0217503350170086,0.0215745254641635,-0.0193435538635662,-0.0214695153725899,-0.0200352953389391
510,0.0674866952593717,21.8796966192337,0.281714186747561,150.722113915593,0.730295073742823,0.730295073742823,0,0,0,0,0,0,0,1.91693197537646e-07,62.6341296446381,57.9321436114991,80.8122696671828,58.0101138351682,0.249812561180645,0.249812561180645,0,0,0,0,0,0,-1.41697936639762e-06,0,0,0,0.0512341924657387,-0.0223688279558808,0.0221968675448605,-0.0200637925712522,-0.021990620114643,-0.0208657739022112
520,0.0676219958518437,21.8795820286432,0.281674357190273,150.722047380399,0.730294939687192,0.730294939687192,0,0,0,0,0,0,0,1.34055630818253e-07,62.6341009247073,57.9346288481958,80.8132634849807,58.0130999028686,0.249812676783299,0.249812676783299,0,0,0,0,0,0,-1.15602653644187e-07,0,0,0,0.0512341924657387,-0.0217503350170086,0.0214708017840473,-0.0193435538635662,-0.0212610734757686,-0.0200352953389391
530,0.0677192775036426,21.8789320448463,0.281586304770381,150.721853103217,0.730294583668256,0.730294583668256,0,0,0,0,0,0,0,3.56018935443458e-07,62.6338902279613,57.9370927731696,80.8143125846411,58.0163368725491,0.249812396390659,0.249812396390659,0,0,0,0,0,0,2.8039263968993e-07,0,0,0,0.0512341924657387,-0.0218534171734873,0.0215745254641635,-0.0194464451075213,-0.0212610734757686,-0.0200352953389391
540,0.0677815344362579,21.8774112644751,0.281454662075575,150.72106127289,0.730294026814662,0.730294026814662,0,0,0,0,0,0,0,5.56853594124718e-07,62.6336109420282,57.9397203245381,80.8154079122677,58.0195005132123,0.249813494738014,0.249813494738014,0,0,0,0,0,0,-1.09834735487202e-06,0,0,0,0.0512341924657387,-0.0218534171734873,0.0216782491442796,-0.0193435538635662,-0.0213652944241793,-0.0203467248001661
550,0.0678598259821867,21.8753922256656,0.281283822140157,150.720017270006,0.730293564179039,0.730293564179039,0,0,0,0,0,0,0,4.62635622811014e-07,62.6333184570577,57.9427275541785,80.8163964572761,58.0226812369472,0.249813948496424,0.249813948496424,0,0,0,0,0,0,-4.53758409901805e-07,0,0,0,0.0512341924657387,-0.021234924234615,0.021263354423815,-0.0187262063998354,-0.0209484106305367,-0.019827675698121
560,0.0679524182605964,21.8731681378343,0.281222521083599,150.719277745467,0.73029305171153,0.73029305171153,0,0,0,0,0,0,0,5.12467508873016e-07,62.6331114863668,57.9460688527016,80.8169946481097,58.0260095474934,0.249813339030879,0.249813339030879,0,0,0,0,0,0,6.09465544421095e-07,0,0,0,0.0512341924657387,-0.021956499329966,0.0219894201846282,-0.0197551188393868,-0.0215737363210005,-0.0202429149797571
570,0.0680576750022167,21.8709587730977,0.281261267544454,150.718529406176,0.730292770871783,0.730292770871783,0,0,0,0,0,0,0,2.8083974712434e-07,62.6332242129366,57.9496049588138,80.8174275807576,58.0295073838876,0.249814133824583,0.249814133824583,0,0,0,0,0,0,-7.94793703601249e-07,0,0,0,0.0512341924657387,-0.0220595814864447,0.021885696504512,-0.0198580100833419,-0.0216779572694112,-0.0203467248001661
580,0.0681740553355371,21.8689643170124,0.281294632772722,150.717294060731,0.730292977195171,0.730292977195171,0,0,0,0,0,0,0,-2.06323387486052e-07,62.6336277841903,57.9533046023816,80.8179973879165,58.0330976806567,0.249815098679908,0.249815098679908,0,0,0,0,0,0,-9.6485532524726e-07,0,0,0,0.0512341924657387,-0.0213380063910937,0.0211596307436988,-0.0192406626196111,-0.021156852527358,-0.019723865877712
590,0.0682037255961616,21.8673181257913,0.281226577414551,150.716342753786,0.730293351570423,0.730293351570423,0,0,0,0,0,0,0,-3.74375251910308e-07,62.6340537986226,57.9568494888512,80.8188342364249,58.0367580480647,0.249814634275457,0.249814634275457,0,0,0,0,0,0,4.6440445175544e-07,0,0,0,0.0512341924657387,-0.021234924234615,0.0209521833834664,-0.0191377713756559,-0.0208441896821261,-0.019516246236894
600,0.0682024664031175,21.8662367168286,0.281066382137586,150.715991352241,0.730293602578307,0.730293602578307,0,0,0,0,0,0,0,-2.51007884366494e-07,62.6345949659444,57.9601911820268,80.8198629009696,58.0402750376536,0.249814765926531,0.249814765926531,0,0,0,0,0,0,-1.31651074042338e-07,0,0,0,0.0512341924657387,-0.0215441707040511,0.021263354423815,-0.0192406626196111,-0.021156852527358,-0.019827675698121
610,0.0683176097417502,21.8655777883298,0.280919252501836,150.715802393998,0.73029374019002,0.73029374019002,0,0,0,0,0,0,0,-1.37611712802688e-07,62.6352389174967,57.9634309305098,80.8208695046279,58.0436956980208,0.249815124069089,0.249815124069089,0,0,0,0,0,0,-3.58142558720687e-07,0,0,0,0.0512341924657387,-0.0220595814864447,0.0219894201846282,-0.0198580100833419,-0.0217821782178218,-0.0206581542613931
620,0.0684419719909996,21.864969050726,0.280784608369532,150.715858576499,0.730293911442692,0.730293911442692,0,0,0,0,0,0,0,-1.7125267159912e-07,62.6359739778945,57.9665650028526,80.8217074550713,58.047063277428,0.24981379068251,0.24981379068251,0,0,0,0,0,0,1.33338657978821e-06,0,0,0,0.0512341924657387,-0.0225749922688383,0.0223005912249767,-0.0201666838152073,-0.0221990620114643,-0.0209695837226202
