Name,FireDragonCrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,C:\Users\Are-Laptop\Documents\Skole\Bachelor\TC3\TestLogs\Scope Project.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starttime of export,1.33873E+17,mandag 24. mars 2025,53:07.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endtime of export,1.33873E+17,mandag 24. mars 2025,53:11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Main Pa DCV,Main Pa Cyl,Main Pb DCV,Ps,Main X Ref,Main Piston Position,Main X Dot Ref,Main Piston Velocity,Main Flow A,Main Flow B,Main FF,Main PID,Main U,Main Error,Jib Pa Cyl,Jib Pa DCV,Jib Pb Cyl,Jib Pb DCV,Jib X Ref,Jib Piston Position,Jib X Dot Ref,Jib Velocity,Jib Flow A,Jib Flow B,Jib FF,Jib PID,Jib Error,Jib U,Winch Pa,Winch Pb,Winch Distance,Joystick Extrude,Joystick Jib,Joystick Main,Joystick Rotation,Joystick Winch
450,0.083038796,49.61780463,0.29171437,147.7061136,0.491348872,0.491348872,0,0,0,0,0,0,0,0,59.89884189,63.24602431,74.6360008,63.31291314,0.505880457,0.505880457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,0.083221621,49.61734924,0.291680471,147.7060517,0.491348458,0.491348458,0,0,0,0,0,0,0,0,59.90005528,63.24491654,74.63645454,63.31309617,0.505879874,0.505879874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,0.083445197,49.61681242,0.291606512,147.7063948,0.491347754,0.491347754,0,0,0,0,0,0,0,0,59.90068554,63.24386549,74.63667366,63.31314484,0.505879501,0.505879501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,0.083753215,49.61586618,0.291592731,147.7071055,0.491347062,0.491347062,0,0,0,0,0,0,0,0,59.90111934,63.24320763,74.63672634,63.31345643,0.505879321,0.505879321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,0.084233341,49.6148398,0.291633836,147.7078111,0.491346521,0.491346521,0,0,0,0,0,0,0,0,59.90170977,63.24281423,74.63657896,63.31390997,0.505878685,0.505878685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,0.084771999,49.61388902,0.291580207,147.7084128,0.491346121,0.491346121,0,0,0,0,0,0,0,0,59.90200686,63.24271153,74.63658723,63.31400913,0.505879533,0.505879533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,0.085217285,49.61262534,0.291392282,147.7089175,0.491345301,0.491345301,0,0,0,0,0,0,0,0,59.9020355,63.24306688,74.63683368,63.31373681,0.50587841,0.50587841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,0.085672123,49.61088877,0.291179122,147.7096209,0.491343963,0.491343963,0,0,0,0,0,0,0,0,59.90201219,63.24350083,74.63734436,63.31336805,0.505878815,0.505878815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,0.086133868,49.60925832,0.291040196,147.71084,0.491342296,0.491342296,0,0,0,0,0,0,0,0,59.90194165,63.24390829,74.63804558,63.31305747,0.505877925,0.505877925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,0.086503698,49.60821292,0.29087307,147.7119458,0.491340886,0.491340886,0,0,0,0,0,0,0,0,59.90187654,63.2443864,74.63891764,63.31270474,0.505878069,0.505878069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
