Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\Scope Project.csv,
Starttime of export,133912747628110000,fredag 9. mai 2025,16:32:42.811
Endtime of export,133912748130010000,fredag 9. mai 2025,16:33:33.001


Name,MainPaCyl,Name,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,MainOutSignal,MainOutCompansated,MainUAdj,Name,JibPaCyl,Name,JibPaDCV,Name,JibPbCyl,Name,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,JibOutSignal,JibOutCompansated,JibUAdj,Name,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name,JoystickJib,JoystickMain,Name,JoystickRotation,JoystickWinch
65,22.420373928376257,130,0.22165193597799171,152.0362140702421,0.00021028229919396106,0.72982281415567762,0.72982281415567762,0,0.0023960419855200144,2.8905169533705131E-06,1.7614087684601568E-06,0,0,0,6.4761203907304221E-06,0.0068856166264839661,0,0,65,60.55556102094252,130,54.260400706006692,65,73.766989722178451,130,41.73518748393699,0.250045875612093,0.250045875612093,0,0.0019875249415406415,2.1073478923700647E-06,1.1707488290944804E-06,0,0,-2.4128650556676234E-05,0,0.0010870998260444978,0,0,65,0,0,1.3338026708634807,0,130,0,0,65,0,0
70,22.4184570845391,140,0.22056617852550411,152.01217488085598,3.972566076394168E-05,0.729792136128967,0.729792136128967,0,0,0,0,0,0,0,3.0678026710639905E-05,0.0068856166264839661,0,0,70,60.56354872837813,140,54.215432197692031,70,73.759498811906141,140,41.776600931444875,0.25005861730134959,0.25005861730134959,0,0.0020478293306638307,2.1712878835939781E-06,1.206271046441099E-06,0,0,-1.2741689256579036E-05,0,0.0010870998260444978,0,0,70,0,0,1.3338026708634489,0,140,0,0,70,0,0
75,22.439602507414421,150,0.21809401203585665,151.99132009145103,-1.0378024643347229E-05,0.72977983679188285,0.72977983679188285,0,-0.0010437282434168083,-1.2591240890351709E-06,-7.672787417558073E-07,0,0,0,1.2299337084131778E-05,0.0068856166264839661,0,0,75,60.553319550540515,150,54.197416668714908,75,73.76535633508729,150,41.803705841225984,0.25004974624933274,0.25004974624933274,0,0.0011817690072213338,1.253014930572743E-06,6.9611940587374612E-07,0,0,8.8710520168566731E-06,0,0.0010870998260444978,0,0,75,0,0,1.3338026708633361,0,150,0,0,75,0,0
80,22.473338606749959,160,0.21311394653125962,152.01210056816657,-1.5710708991023555E-05,0.72979272769029691,0.72979272769029691,0,0,0,0,0,0,0,-1.2890898414052998E-05,0.0068856166264839661,0,0,80,60.534745135356992,160,54.208747205798723,80,73.7800003537323,160,41.812877953599262,0.25003163315475524,0.25003163315475524,0,0,0,0,0,0,1.8113094577498767E-05,0,0.0010870998260444978,0,0,80,0,0,1.3338026708632054,0,160,0,0,80,0,0
85,22.507360865756091,170,0.21167216569064493,151.99320142120777,-1.0060314541410152E-05,0.72977862676902583,0.72977862676902583,0,0,0,0,0,0,0,1.4100921271076317E-05,0.0068856166264839661,0,0,85,60.502045772561907,170,54.239548519492438,85,73.798140008738855,170,41.814974391962828,0.25000887723231335,0.25000887723231335,0,-0.0012535303216978377,-1.3291025567730673E-06,-7.3839030931837067E-07,0,0,2.2755922441886067E-05,0,0.0010870998260444978,0,0,85,0,0,1.333802670863087,0,170,0,0,85,0,0
90,22.528571342981561,180,0.21291697496098255,151.94461893612549,-4.6779216289871032E-06,0.72976831546881937,0.72976831546881937,0,0,0,0,0,0,0,1.0311300206455876E-05,0.0068856166264839661,0,0,90,60.468221516116479,180,54.277139125113472,90,73.8130828028941,180,41.798965363680864,0.25000102006495967,0.25000102006495967,0,-0.0016022320509172516,-1.6988266486713641E-06,-9.4379258259520206E-07,0,0,7.8571673536864672E-06,0,0.0010870998260444978,0,0,90,0,0,1.3338026708629926,0,180,0,0,90,0,0
95,22.527473723700034,190,0.21086418343880009,151.98749284868873,-1.6390179393032796E-06,0.72977251979440982,0.72977251979440982,0,0,0,0,0,0,0,-4.2043255904511412E-06,0.0068856166264839661,0,0,95,60.439182959876774,190,54.33365750528489,95,73.812844133062356,190,41.814811456735256,0.2499959898895768,0.2499959898895768,0,-0.0011578741752629185,-1.2276795384407223E-06,-6.8204418802262349E-07,0,0,5.0301753828640994E-06,0,0.0010870998260444978,0,0,95,0,0,1.3338026708629236,0,190,0,0,95,0,0
100,22.510987493807274,200,0.20904353608416895,152.07476408712478,-3.4987062429186244E-07,0.72977232015730165,0.72977232015730165,0,0,0,0,0,0,0,1.9963710817805236E-07,0.0068856166264839661,0,0,100,60.399633612657233,200,54.380903724403389,100,73.8040391900331,200,41.876062536171681,0.24999706859699053,0.24999706859699053,0,0,0,0,0,0,-1.0787074137263986E-06,0,0.0010870998260444978,0,0,100,0,0,1.3338026708628765,0,200,0,0,100,0,0
105,22.48838080243295,210,0.20804313245607986,152.06977302694563,4.9954065372690761E-08,0.72977438807307549,0.72977438807307549,0,0,0,0,0,0,0,-2.0679157738401344E-06,0.0068856166264839661,0,0,105,60.363529717615087,210,54.397468547565843,105,73.792830229243748,210,41.892990046330276,0.25002340454582828,0.25002340454582828,0,0,0,0,0,0,-2.6335948837746814E-05,0,0.0010870998260444978,0,0,105,0,0,1.3338026708628465,0,210,0,0,105,0,0
110,22.474229471922865,220,0.20762823773549344,152.02361942627886,1.0649825076051646E-07,0.72979473347099266,0.72979473347099266,0,0,0,0,0,0,0,-2.0345397917176378E-05,0.0068856166264839661,0,0,110,60.336489990292748,220,54.3883706681079,110,73.778498539153276,220,41.840957668022831,0.25004614193451158,0.25004614193451158,0,0.0015352568156998814,1.627813642582037E-06,9.0434091254557618E-07,0,0,-2.2737388683302662E-05,0,0.0010870998260444978,0,0,110,0,0,1.3338026708628286,0,220,0,0,110,0,0
